# Ecm || mean err  
0.64 || 0  0
0.640014 || 0  0
0.640028 || 0  0
0.640042 || 0  0
0.640056 || 0  0
0.64007 || 0  0
0.640084 || 0  0
0.640098 || 0  0
0.640112 || 0  0
0.640126 || 0  0
0.64014 || 0  0
0.640154 || 0  0
0.640168 || 0  0
0.640182 || 0  0
0.640196 || 0  0
0.64021 || 0  0
0.640224 || 0  0
0.640238 || 0  0
0.640252 || 0  0
0.640266 || 0  0
0.64028 || 0  0
0.640294 || 0  0
0.640308 || 0  0
0.640322 || 0  0
0.640336 || 0  0
0.64035 || 0  0
0.640364 || 0  0
0.640378 || 0  0
0.640392 || 0  0
0.640406 || 0  0
0.64042 || 0  0
0.640434 || 0  0
0.640448 || 0  0
0.640462 || 0  0
0.640476 || 0  0
0.64049 || 0  0
0.640504 || 0  0
0.640518 || 0  0
0.640532 || 0  0
0.640546 || 0  0
0.64056 || 0  0
0.640574 || 0  0
0.640588 || 0  0
0.640602 || 0  0
0.640616 || 0  0
0.64063 || 0  0
0.640644 || 0  0
0.640658 || 0  0
0.640672 || 0  0
0.640686 || 0  0
0.6407 || 0  0
0.640714 || 0  0
0.640728 || 0  0
0.640742 || 0  0
0.640756 || 0  0
0.64077 || 0  0
0.640784 || 0  0
0.640798 || 0  0
0.640812 || 0  0
0.640826 || 0  0
0.64084 || 0  0
0.640854 || 0  0
0.640868 || 0  0
0.640882 || 0  0
0.640896 || 0  0
0.64091 || 0  0
0.640924 || 0  0
0.640938 || 0  0
0.640952 || 0  0
0.640966 || 0  0
0.64098 || 0  0
0.640994 || 0  0
0.641008 || 0  0
0.641022 || 0  0
0.641036 || 0  0
0.64105 || 0  0
0.641064 || 0  0
0.641078 || 0  0
0.641092 || 0  0
0.641106 || 0  0
0.64112 || 0  0
0.641134 || 0  0
0.641148 || 0  0
0.641162 || 0  0
0.641176 || 0  0
0.64119 || 0  0
0.641204 || 0  0
0.641218 || 0  0
0.641232 || 0  0
0.641246 || 0  0
0.64126 || 0  0
0.641274 || 0  0
0.641288 || 0  0
0.641302 || 0  0
0.641316 || 0  0
0.64133 || 0  0
0.641344 || 0  0
0.641358 || 0  0
0.641372 || 0  0
0.641386 || 0  0
0.6414 || 0  0
0.641414 || 0  0
0.641428 || 0  0
0.641442 || 0  0
0.641456 || 0  0
0.64147 || 0  0
0.641484 || 0  0
0.641498 || 0  0
0.641512 || 0  0
0.641526 || 0  0
0.64154 || 0  0
0.641554 || 0  0
0.641568 || 0  0
0.641582 || 0  0
0.641596 || 0  0
0.64161 || 0  0
0.641624 || 0  0
0.641638 || 0  0
0.641652 || 0  0
0.641666 || 0  0
0.64168 || 0  0
0.641694 || 0  0
0.641708 || 0  0
0.641722 || 0  0
0.641736 || 0  0
0.64175 || 0  0
0.641764 || 0  0
0.641778 || 0  0
0.641792 || 0  0
0.641806 || 0  0
0.64182 || 0  0
0.641834 || 0  0
0.641848 || 0  0
0.641862 || 0  0
0.641876 || 0  0
0.64189 || 0  0
0.641904 || 0  0
0.641918 || 0  0
0.641932 || 0  0
